Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
TSLA,187.04,2.45,+48.51%,5.05,194.95,0.637,2023-04-28,192.5,6.45,200.0,4.0,weekly,-27.24999999999997,-0.11122448979591823
TSLA,187.04,4.9,+48.51%,10.1,192.4,0.618,2023-04-21,187.5,6.8,202.5,1.9,monthly,-82.99999999999994,-0.1693877551020407
MSFT,288.8,4.9,+48.51%,10.1,294.9,0.638,2023-04-28,290.0,6.35,305.0,1.45,weekly,-52.99999999999994,-0.1081632653061223
NVDA,270.02,4.08,+48.46%,8.42,276.58,0.638,2023-04-28,272.5,6.25,285.0,2.17,weekly,-44.49999999999994,-0.1090686274509803
SQ,64.19,0.65,+48.15%,1.35,65.65,0.609,2023-04-28,65.0,1.71,67.0,1.06,weekly,-13.200000000000005,-0.20307692307692313
NVDA,270.02,3.25,+48.15%,6.75,275.75,0.622,2023-04-28,272.5,6.25,282.5,3.0,weekly,-53.0,-0.16307692307692315
ROKU,64.47,0.65,+48.15%,1.35,65.65,0.601,2023-04-21,65.0,1.57,67.0,0.92,monthly,-14.800000000000004,-0.22769230769230783
AXP,163.71,0.81,+47.93%,1.69,165.81,0.6,2023-04-21,165.0,2.58,167.5,1.77,monthly,-19.000000000000007,-0.23456790123456792
ROKU,64.47,0.97,+47.78%,2.03,67.97,0.618,2023-04-28,67.0,3.45,70.0,2.48,weekly,-17.599999999999994,-0.18144329896907213
GOOGL,105.97,1.94,+47.78%,4.06,108.94,0.632,2023-04-28,107.0,3.0,113.0,1.06,weekly,-26.799999999999983,-0.1381443298969072
NFLX,332.72,6.45,+47.60%,13.55,346.45,0.629,2023-04-28,340.0,13.15,360.0,6.7,weekly,-97.0,-0.15038759689922476
AMZN,102.74,2.9,+47.54%,6.1,105.9,0.624,2023-04-28,103.0,3.9,112.0,1.0,weekly,-48.400000000000006,-0.1668965517241379
VZ,39.46,0.16,+47.06%,0.34,39.66,0.609,2023-04-21,39.5,0.26,40.0,0.1,monthly,-3.5500000000000007,-0.22187500000000004
GOOGL,105.97,0.96,+47.06%,2.04,106.96,0.62,2023-04-21,106.0,1.3,109.0,0.34,monthly,-18.0,-0.18750000000000006
ABNB,116.17,0.32,+47.06%,0.68,117.32,0.6,2023-04-21,117.0,1.4,118.0,1.08,monthly,-8.000000000000004,-0.25000000000000006
MARA,11.45,0.32,+47.06%,0.68,11.82,0.5579999999999999,2023-04-28,11.5,0.94,12.5,0.62,weekly,-12.200000000000006,-0.3812500000000002
NET,64.7,0.32,+47.06%,0.68,65.32,0.562,2023-04-21,65.0,1.44,66.0,1.12,monthly,-11.799999999999994,-0.36874999999999986
LUV,32.31,0.16,+47.06%,0.34,32.66,0.624,2023-04-21,32.5,0.35,33.0,0.19,monthly,-2.8000000000000007,-0.17499999999999996
MARA,11.45,0.16,+47.06%,0.34,11.66,0.557,2023-04-21,11.5,0.53,12.0,0.37,monthly,-6.149999999999997,-0.3843749999999998
GOOGL,105.97,0.64,+47.06%,1.36,108.64,0.619,2023-04-28,108.0,2.53,110.0,1.89,weekly,-12.200000000000005,-0.19062500000000004
TSLA,187.04,0.8,+47.06%,1.7,193.3,0.637,2023-04-21,192.5,4.6,195.0,3.8,monthly,-10.75,-0.13437499999999986
PINS,28.62,0.48,+47.06%,1.02,29.98,0.639,2023-04-28,29.5,1.1,31.0,0.62,weekly,-6.149999999999995,-0.12812500000000002
X,26.26,0.16,+47.06%,0.34,26.66,0.627,2023-04-21,26.5,0.37,27.0,0.21,monthly,-2.6500000000000004,-0.165625
UAL,42.38,0.32,+47.06%,0.68,43.32,0.622,2023-04-21,43.0,0.91,44.0,0.59,monthly,-5.800000000000001,-0.18125000000000008
DVN,55.3,0.32,+47.06%,0.68,56.32,0.635,2023-04-28,56.0,0.86,57.0,0.54,weekly,-4.5,-0.14062499999999997
WFC,41.3,0.16,+47.06%,0.34,41.66,0.627,2023-04-21,41.5,0.35,42.0,0.19,monthly,-2.6500000000000004,-0.165625
MARA,11.45,0.16,+47.06%,0.34,11.66,0.5329999999999999,2023-04-28,11.5,0.94,12.0,0.78,weekly,-7.350000000000005,-0.45937500000000026
SQ,64.19,0.32,+47.06%,0.68,65.32,0.585,2023-04-28,65.0,1.71,66.0,1.39,weekly,-9.500000000000004,-0.2968750000000001
NEM,48.47,0.16,+47.06%,0.34,48.66,0.54,2023-04-21,48.5,0.72,49.0,0.56,monthly,-6.999999999999998,-0.4374999999999999
PINS,28.62,0.16,+47.06%,0.34,29.66,0.608,2023-04-28,29.5,1.1,30.0,0.94,weekly,-3.6000000000000014,-0.22500000000000003
T,19.79,0.16,+47.06%,0.34,20.16,0.634,2023-04-28,20.0,0.33,20.5,0.17,weekly,-2.299999999999999,-0.14374999999999996
U,29.99,0.48,+47.06%,1.02,30.48,0.588,2023-04-21,30.0,0.83,31.5,0.35,monthly,-13.800000000000004,-0.28750000000000014
SHOP,48.52,0.32,+47.06%,0.68,49.32,0.614,2023-04-21,49.0,0.86,50.0,0.54,monthly,-6.600000000000001,-0.2062500000000001
META,218.86,3.2,+47.06%,6.8,228.2,0.638,2023-04-28,225.0,7.65,235.0,4.45,weekly,-42.0,-0.13124999999999987
RIOT,12.93,0.32,+47.06%,0.68,13.32,0.5589999999999999,2023-04-28,13.0,0.97,14.0,0.65,weekly,-12.100000000000003,-0.3781250000000002
TSLA,187.04,3.2,+47.06%,6.8,193.2,0.635,2023-04-21,190.0,5.6,200.0,2.4,monthly,-45.0,-0.14062499999999983
LYFT,10.45,0.16,+47.06%,0.34,10.66,0.578,2023-04-28,10.5,0.38,11.0,0.22,weekly,-5.100000000000001,-0.31875000000000014
TSLA,187.04,1.85,+46.48%,3.98,193.52,0.642,2023-04-21,191.67,4.9,197.5,3.05,monthly,-23.713999999999984,-0.12818378378378373
AMZN,102.74,2.22,+46.44%,4.78,106.22,0.636,2023-04-28,104.0,3.4,111.0,1.18,weekly,-32.79999999999998,-0.1477477477477477
TSM,87.99,0.95,+46.34%,2.05,89.95,0.6409999999999999,2023-04-21,89.0,1.66,92.0,0.71,monthly,-12.700000000000024,-0.13368421052631602
UAL,42.38,0.79,+46.20%,1.71,43.29,0.618,2023-04-21,42.5,1.15,45.0,0.36,monthly,-16.5,-0.2088607594936708
AA,40.8,0.63,+45.99%,1.37,41.63,0.594,2023-04-21,41.0,1.25,43.0,0.62,monthly,-18.20000000000001,-0.288888888888889
CRWD,137.37,1.26,+45.99%,2.74,139.26,0.624,2023-04-21,138.0,2.09,142.0,0.83,monthly,-24.40000000000001,-0.19365079365079363
TSM,87.99,1.57,+45.77%,3.43,89.57,0.614,2023-04-21,88.0,2.1,93.0,0.53,monthly,-36.0,-0.22929936305732482
TSLA,187.04,6.27,+45.67%,13.73,193.77,0.617,2023-04-28,187.5,8.65,207.5,2.38,weekly,-139.00000000000006,-0.22169059011164294
GOOGL,105.97,0.94,+45.63%,2.06,108.94,0.632,2023-04-28,108.0,2.53,111.0,1.59,weekly,-16.39999999999999,-0.17446808510638298
SNAP,10.88,0.47,+45.63%,1.03,11.47,0.607,2023-04-28,11.0,0.79,12.5,0.32,weekly,-11.95,-0.2542553191489363
